method,threads,time,graph,nodes

serial,1,0.000003,../data/mycielskian5.mtx,23
serial,1,0.000002,../data/mycielskian5.mtx,23
openmp,16,0.001877,../data/mycielskian5.mtx,23
opencilk,4,0.000462,../data/mycielskian5.mtx,23
pthreads,16,0.002114,../data/mycielskian5.mtx,23
serial,1,0.000004,../data/mycielskian5.mtx,23
openmp,16,0.001316,../data/mycielskian5.mtx,23
opencilk,4,0.000574,../data/mycielskian5.mtx,23
pthreads,16,0.002616,../data/mycielskian5.mtx,23
serial,1,0.000003,../data/mycielskian5.mtx,23
openmp,16,0.001915,../data/mycielskian5.mtx,23
opencilk,4,0.000794,../data/mycielskian5.mtx,23
pthreads,16,0.002742,../data/mycielskian5.mtx,23
serial,1,0.000002,../data/mycielskian5.mtx,23
openmp,16,0.002282,../data/mycielskian5.mtx,23
opencilk,4,0.000668,../data/mycielskian5.mtx,23
pthreads,16,0.002301,../data/mycielskian5.mtx,23
serial,1,0.000001,../data/mycielskian5.mtx,23
openmp,16,0.000558,../data/mycielskian5.mtx,23
opencilk,16,0.001746,../data/mycielskian5.mtx,23
pthreads,16,0.001500,../data/mycielskian5.mtx,23
serial,1,0.758716,../data/com-Orkut.mtx,3072441
openmp,16,0.319924,../data/com-Orkut.mtx,3072441
opencilk,16,0.482850,../data/com-Orkut.mtx,3072441
pthreads,16,0.527385,../data/com-Orkut.mtx,3072441
serial,1,0.000000,../data/mycielskian5.mtx,23
openmp,16,0.000327,../data/mycielskian5.mtx,23
opencilk,16,0.000721,../data/mycielskian5.mtx,23
pthreads,16,0.000840,../data/mycielskian5.mtx,23
serial,1,0.000000,./data/mycielskian5.mtx,23
openmp,16,0.000327,./data/mycielskian5.mtx,23
serial,1,0.595284,./data/com-Orkut.mtx,3072441
openmp,16,0.268543,./data/com-Orkut.mtx,3072441
mpi,2,0.217888,./data/com-Orkut.mtx,3072441
mpi,4,0.709559,./data/com-Orkut.mtx,3072441
mpi,4,0.641219,./data/com-Orkut.mtx,3072441
mpi,4,0.704713,./data/com-Orkut.mtx,3072441
openmp,16,0.394342,./data/com-Orkut.mtx,3072441
openmp,16,0.329974,./data/com-Orkut.mtx,3072441
mpi,4,0.805336,./data/com-Orkut.mtx,3072441
openmp,16,0.308646,./data/com-Orkut.mtx,3072441
mpi,4,0.745026,./data/com-Orkut.mtx,3072441
mpi+openmp,4,16,0.714128,./data/com-Orkut.mtx,3072441
mpi+openmp,4,16,0.719346,./data/com-Orkut.mtx,3072441
openmp,16,0.338603,./data/com-Orkut.mtx,3072441
mpi,4,0.705041,./data/com-Orkut.mtx,3072441
